name,has_nickname,is_nickname,popularity_freq
sue,True,True,14.5
maureen,True,True,14.46
josiah,True,False,14.38
arlene,True,False,14.32
marian,True,False,14.31
joy,False,True,14.25
sabrina,True,False,14.2
franklin,True,False,14.16
mabel,True,True,14.12
marc,False,True,14.1
wilma,True,True,14.08
tom,True,True,14.03
constance,True,False,14.03
gabrielle,True,False,13.91
maurice,True,False,13.87
myrtle,True,False,13.7
herman,True,False,13.67
melinda,True,False,13.61
garrett,True,False,13.57
lindsay,True,False,13.54
jimmie,False,True,13.52
gabriella,True,False,13.51
sophie,False,True,13.47
katelyn,True,False,13.4
gene,False,True,13.38
cory,True,False,13.36
mattie,False,True,13.36
marcia,False,True,13.36
viola,True,False,13.32
isabel,True,False,13.22
andre,True,False,13.2
lester,True,False,13.19
gilbert,True,False,13.07
micah,False,True,12.94
jake,False,True,12.89
claudia,True,False,12.89
sam,True,True,12.83
jennie,False,True,12.76
patsy,True,True,12.71
glen,False,True,12.7
erika,False,True,12.6
angelina,True,False,12.55
gwendolyn,True,False,12.39
genevieve,True,False,12.33
priscilla,True,False,12.25
maggie,False,True,12.23
chester,True,True,12.22
marissa,True,False,12.1
elias,True,False,12.06
jeff,False,True,12.05
delores,True,False,11.82
miriam,True,False,11.69
alison,True,False,11.68
maxine,True,False,11.54
mae,False,True,11.48
miranda,True,False,11.47
mariah,True,True,11.46
roberto,True,False,11.3
madelyn,True,True,11.27
caitlin,True,False,11.24
reginald,True,True,11.22
melody,True,False,11.2
joanna,True,False,11.11
carole,False,True,11.09
ana,False,True,11.07
vickie,False,True,11.04
eduardo,True,False,10.99
cecilia,True,True,10.92
brandy,False,True,10.88
sidney,True,False,10.87
makayla,True,False,10.76
maxwell,True,False,10.75
dan,False,True,10.7
bobbie,False,True,10.7
dora,False,True,10.64
margie,True,True,10.64
isabelle,True,False,10.59
ada,True,True,10.58
neil,False,True,10.5
hattie,False,True,10.48
marsha,True,False,10.44
arnold,True,False,10.43
alexandria,True,False,10.41
penelope,True,False,10.33
elena,True,False,10.32
ezra,True,False,10.32
kay,False,True,10.25
abraham,True,False,10.25
lincoln,True,False,10.22
kara,False,True,10.18
lonnie,False,True,10.14
kendall,True,False,10.08
roland,True,True,10.07
ellie,True,True,10.06
penny,False,True,10.06
christy,True,True,10.05
kerry,True,False,9.86
kendra,True,False,9.85
johnathan,True,True,9.8
brady,True,True,9.78
natasha,True,False,9.77
briana,False,True,9.69
meghan,True,False,9.66
allan,True,True,9.65
harrison,True,False,9.64
lola,False,True,9.6
dianne,False,True,9.55
andy,False,True,9.49
marguerite,True,False,9.41
bob,True,True,9.33
angelica,True,False,9.31
jenny,False,True,9.26
bridget,True,False,9.21
karla,True,True,9.15
felicia,True,False,9.14
harriet,True,False,9.02
emmanuel,False,True,8.94
blanche,True,False,8.76
giovanni,True,False,8.74
jody,True,True,8.73
drew,False,True,8.71
becky,False,True,8.7
shelly,False,True,8.66
susie,True,True,8.6
ben,False,True,8.55
kate,True,True,8.55
lula,False,True,8.55
dalton,True,False,8.54
candace,True,False,8.5
rosie,False,True,8.49
kristine,True,False,8.45
sherri,False,True,8.38
hugh,False,True,8.38
wallace,True,False,8.36
tim,True,True,8.35
freddie,False,True,8.35
brad,True,True,8.33
jillian,True,False,8.32
lorenzo,True,False,8.3
rachael,False,True,8.26
brittney,True,False,8.24
breanna,True,False,8.24
ross,False,True,8.22
felix,False,True,8.21
rick,True,True,8.19
bella,True,True,8.16
eunice,True,True,8.14
ivy,False,True,8.1
jodi,False,True,8.06
brody,False,True,8.05
nelson,True,False,7.98
perry,False,True,7.95
sandy,True,True,7.95
sheryl,True,False,7.9
erick,False,True,7.9
antoinette,True,False,7.87
frankie,True,True,7.86
ezekiel,True,False,7.85
mamie,False,True,7.82
greg,False,True,7.78
mathew,True,False,7.75
adeline,True,True,7.7
jan,False,True,7.69
camille,True,False,7.58
